name,type,座標(經緯度),營業時間
樂湖門市,便利商店(7-11),"25.068204,121.615814",
樂陽門市,便利商店(7-11),"25.073353,121.578318",
銳陽門市,便利商店(7-11),"25.076813,121.580467",
環武門市,便利商店(7-11),"25.083088,121.565400",
環金門市,便利商店(7-11),"25.084164,121.576368",
環湖門市,便利商店(7-11),"25.086626,121.566875",
鴻瑞門市,便利商店(7-11),"25.077407,121.575081",
麗安門市,便利商店(7-11),"25.081342,121.572277",
麗港門市,便利商店(7-11),"25.080463,121.579388",
寶湖門市,便利商店(7-11),"25.068081,121.592560",
瓏山林門市,便利商店(7-11),"25.073432,121.619673",
瓏馬門市,便利商店(7-11),"25.075874,121.620648",
馨瑩門市,便利商店(7-11),"25.084548,121.561294",
權金門市,便利商店(7-11),"25.073409,121.604391",
權湖門市,便利商店(7-11),"25.067134,121.597831",
鑫文德門市,便利商店(7-11),"25.078726,121.583371",
鑫江南門市,便利商店(7-11),"25.078099,121.578164",
鑫碁泰門市,便利商店(7-11),"25.072353,121.608259",
鑫輝煌門市,便利商店(7-11),"25.069845,121.617076",
三玉門市,便利商店(7-11),"25.118061,121.535807",
三樂門市,便利商店(7-11),"25.084129,121.522695",
士東門市,便利商店(7-11),"25.111857,121.527654",
士福門市,便利商店(7-11),"25.095257,121.526407",
大饌門市,便利商店(7-11),"25.089475,121.525235",
丹樺門市,便利商店(7-11),"25.097251,121.524099",
友成門市,便利商店(7-11),"25.091105,121.508421",
天北門市,便利商店(7-11),"25.118781,121.527473",
天東門市,便利商店(7-11),"25.118703,121.531242",
天美門市,便利商店(7-11),"25.114359,121.530124",
天真門市,便利商店(7-11),"25.123138,121.531436",
天越門市,便利商店(7-11),"25.116888,121.533244",
天裕門市,便利商店(7-11),"25.124054,121.532660",
天福門市,便利商店(7-11),"25.116464,121.531653",
天鑫門市,便利商店(7-11),"25.119751,121.527006",
太學門市,便利商店(7-11),"25.137791,121.541887",
文大門市,便利商店(7-11),"25.137934,121.546486",
文林門市,便利商店(7-11),"25.089878,121.526590",
文學門市,便利商店(7-11),"25.137299,121.541610",
日美門市,便利商店(7-11),"25.114463,121.527246",
冬樂門市,便利商店(7-11),"25.097087,121.519636",
永倫門市,便利商店(7-11),"25.092049,121.503403",
至善天下門市,便利商店(7-11),"25.100437,121.550925",
至誠門市,便利商店(7-11),"25.101810,121.529259",
兒樂門市,便利商店(7-11),"25.093999,121.514600",
承河門市,便利商店(7-11),"25.089097,121.522847",
承富門市,便利商店(7-11),"25.081019,121.522770",
東吳門市,便利商店(7-11),"25.094324,121.545802",
東洋門市,便利商店(7-11),"25.118896,121.532398",
社子島門市,便利商店(7-11),"25.107904,121.471115",
社中門市,便利商店(7-11),"25.092423,121.505185",
社正門市,便利商店(7-11),"25.089091,121.510714",
社鑫門市,便利商店(7-11),"25.087443,121.507479",
社鑽門市,便利商店(7-11),"25.086206,121.508208",
芝山門市,便利商店(7-11),"25.102871,121.522863",
芝玉門市,便利商店(7-11),"25.107718,121.532808",
前港門市,便利商店(7-11),"25.085879,121.521541",
前德門市,便利商店(7-11),"25.084828,121.522347",
洲美門市,便利商店(7-11),"25.093424,121.498221",
珍饌門市,便利商店(7-11),"25.088459,121.526516",
海光門市,便利商店(7-11),"25.079794,121.510854",
草山門市,便利商店(7-11),"25.136941,121.546449",
通河門市,便利商店(7-11),"25.081175,121.520438",
凱立門市,便利商店(7-11),"25.105828,121.531340",
華岡門市,便利商店(7-11),"25.136886,121.541482",
華齡門市,便利商店(7-11),"25.083135,121.519337",
集鑫門市,便利商店(7-11),"25.089297,121.505077",
新士林門市,便利商店(7-11),"25.091682,121.525449",
新天強門市,便利商店(7-11),"25.108799,121.524484",
新文門市,便利商店(7-11),"25.096115,121.521305",
新忠誠門市,便利商店(7-11),"25.104034,121.526761",
新承德門市,便利商店(7-11),"25.080383,121.522042",
新福慶門市,便利商店(7-11),"25.086269,121.524946",
新劍潭門市,便利商店(7-11),"25.084292,121.517477",
葫東門市,便利商店(7-11),"25.084220,121.510040",
葫蘆門市,便利商店(7-11),"25.082034,121.510487",
誠義門市,便利商店(7-11),"25.105707,121.528778",
福正門市,便利商店(7-11),"25.094685,121.523790",
福志門市,便利商店(7-11),"25.098488,121.532260",
福芝門市,便利商店(7-11),"25.102057,121.522372",
福氣門市,便利商店(7-11),"25.089307,121.507855",
福國路門市,便利商店(7-11),"25.101910,121.524486",
福捷門市,便利商店(7-11),"25.094826,121.526054",
福通門市,便利商店(7-11),"25.089629,121.515860",
福陽門市,便利商店(7-11),"25.085355,121.509577",
福順門市,便利商店(7-11),"25.083901,121.511588",
福溢門市,便利商店(7-11),"25.104145,121.521269",
福榮門市,便利商店(7-11),"25.095529,121.526092",
福鑫門市,便利商店(7-11),"25.094652,121.522541",
聚鑫門市,便利商店(7-11),"25.090737,121.501247",
銘傳門市,便利商店(7-11),"25.086292,121.528489",
齊德門市,便利商店(7-11),"25.118573,121.524902",
劍潭站門市,便利商店(7-11),"25.084425,121.525126",
德天門市,便利商店(7-11),"25.105272,121.522989",
德行門市,便利商店(7-11),"25.109080,121.530636",
德東門市,便利商店(7-11),"25.109746,121.534693",
德芝門市,便利商店(7-11),"25.112439,121.537525",
德華門市,便利商店(7-11),"25.100857,121.522184",
德誠門市,便利商店(7-11),"25.107814,121.528702",
德寶門市,便利商店(7-11),"25.110994,121.528859",
豫鋒門市,便利商店(7-11),"25.088952,121.518275",
豐基門市,便利商店(7-11),"25.094805,121.518590",
蘭雅門市,便利商店(7-11),"25.106284,121.525359",
鑫仰德門市,便利商店(7-11),"25.118849,121.552876",
鑫成門市,便利商店(7-11),"25.101557,121.527802",
鑫港門市,便利商店(7-11),"25.088391,121.520599",
一德門市,便利商店(7-11),"25.128150,121.468456",
大中門市,便利商店(7-11),"25.130534,121.501056",
大同門市,便利商店(7-11),"25.133224,121.499225",
中華賓士門市,便利商店(7-11),"25.124541,121.468870",
中陽門市,便利商店(7-11),"25.137918,121.484900",
公館門市,便利商店(7-11),"25.133059,121.503115",
友華門市,便利商店(7-11),"25.103626,121.512513",
天富門市,便利商店(7-11),"25.113726,121.523837",
文林北門市,便利商店(7-11),"25.109033,121.513454",
加賀屋門市,便利商店(7-11),"25.135693,121.506172",
北投門市,便利商店(7-11),"25.139090,121.501790",
北投石牌門市,便利商店(7-11),"25.113405,121.508698",
北投光明門市,便利商店(7-11),"25.135600,121.503232",
北投奇岩門市,便利商店(7-11),"25.125111,121.500473",
北榮門市,便利商店(7-11),"25.120184,121.520160",
石捷門市,便利商店(7-11),"25.115351,121.515502",
立陽門市,便利商店(7-11),"25.118701,121.516234",
立農門市,便利商店(7-11),"25.118635,121.502749",
光中門市,便利商店(7-11),"25.133288,121.501821",
光寶門市,便利商店(7-11),"25.133616,121.502160",
安遠門市,便利商店(7-11),"25.117452,121.512955",
百齡門市,便利商店(7-11),"25.113202,121.510283",
行義門市,便利商店(7-11),"25.123024,121.525004",
西安門市,便利商店(7-11),"25.130170,121.499361",
秀山門市,便利商店(7-11),"25.145283,121.495171",
和信醫門市,便利商店(7-11),"25.128370,121.472414",
和業門市,便利商店(7-11),"25.137517,121.503438",
和碩門市,便利商店(7-11),"25.124844,121.471453",
奇岩門市,便利商店(7-11),"25.126287,121.501475",
岩投門市,便利商店(7-11),"25.126366,121.507939",
明華門市,便利商店(7-11),"25.109460,121.519411",
明德門市,便利商店(7-11),"25.109879,121.520245",
東華門市,便利商店(7-11),"25.116486,121.517952",
知心門市,便利商店(7-11),"25.119251,121.466162",
金和門市,便利商店(7-11),"25.141050,121.499919",
政戰門市,便利商店(7-11),"25.136464,121.496048",
泉北門市,便利商店(7-11),"25.135226,121.504897",
泉源門市,便利商店(7-11),"25.140187,121.506521",
致遠門市,便利商店(7-11),"25.114053,121.512396",
振華門市,便利商店(7-11),"25.116865,121.516329",
振興醫門市,便利商店(7-11),"25.117715,121.522374",
商城門市,便利商店(7-11),"25.114740,121.517384",
清江門市,便利商店(7-11),"25.128990,121.506649",
統勝門市,便利商店(7-11),"25.110590,121.514648",
富邦門市,便利商店(7-11),"25.114959,121.508177",
復興崗門市,便利商店(7-11),"25.137477,121.494425",
華碩二門市,便利商店(7-11),"25.126562,121.470410",
陽明門市,便利商店(7-11),"25.119674,121.513320",
新和碩門市,便利商店(7-11),"25.127216,121.473369",
新豪美門市,便利商店(7-11),"25.105640,121.517646",
榮陽門市,便利商店(7-11),"25.113651,121.515748",
榮總門市,便利商店(7-11),"25.121492,121.522754",
榮護門市,便利商店(7-11),"25.118622,121.518185",
福致門市,便利商店(7-11),"25.112015,121.513637",
福瀛門市,便利商店(7-11),"25.120688,121.505369",
德致門市,便利商店(7-11),"25.109047,121.518749",
擎天崗門市,便利商店(7-11),"25.152493,121.547476",
薇閣門市,便利商店(7-11),"25.134852,121.499545",
雙全門市,便利商店(7-11),"25.137221,121.500961",
懷得門市,便利商店(7-11),"25.114096,121.519656",
關渡門市,便利商店(7-11),"25.121540,121.467483",
關渡站門市,便利商店(7-11),"25.125037,121.467181",
鐏賢門市,便利商店(7-11),"25.117453,121.506854",
