name,type,座標(經緯度),營業時間
全家大直店,便利商店(全家),"25.082196,121.546504",
全家市民店,便利商店(全家),"25.048510,121.520695",
全家六條通店,便利商店(全家),"25.050330,121.524574",
全家東南店,便利商店(全家),"25.056609,121.522565",
全家柯達飯店,便利商店(全家),"25.052871,121.523174",
全家中賓店,便利商店(全家),"25.056037,121.522976",
全家聚葉店,便利商店(全家),"25.061609,121.525065",
全家新國賓店,便利商店(全家),"25.057487,121.523072",
全家台鑫店,便利商店(全家),"25.055228,121.522496",
全家新吉原店,便利商店(全家),"25.056510,121.528746",
全家錦原店,便利商店(全家),"25.060968,121.529006",
全家五常店,便利商店(全家),"25.065510,121.539687",
全家日津店,便利商店(全家),"25.050165,121.523071",
全家美華店,便利商店(全家),"25.084952,121.556154",
全家永安店,便利商店(全家),"25.082873,121.549469",
全家新北鄰店,便利商店(全家),"25.078927,121.546273",
全家松平店,便利商店(全家),"25.053789,121.532316",
全家雙全店,便利商店(全家),"25.057589,121.520890",
全家新馬偕店,便利商店(全家),"25.057875,121.521051",
全家福泰店,便利商店(全家),"25.057944,121.524275",
全家玉林店,便利商店(全家),"25.058711,121.525095",
全家民佳店,便利商店(全家),"25.058134,121.535821",
全家民族店,便利商店(全家),"25.066772,121.539542",
全家民權西路店,便利商店(全家),"25.063023,121.521138",
全家中山民權店,便利商店(全家),"25.062598,121.521246",
全家新吉林店,便利商店(全家),"25.062375,121.530030",
全家錦民店,便利商店(全家),"25.061138,121.534897",
全家江寧店,便利商店(全家),"25.062200,121.542647",
全家長通店,便利商店(全家),"25.054092,121.534701",
全家金通店,便利商店(全家),"25.051541,121.534620",
全家德惠店,便利商店(全家),"25.066734,121.530302",
全家合江店,便利商店(全家),"25.059271,121.539236",
全家朱崙店,便利商店(全家),"25.050058,121.542348",
全家明水店,便利商店(全家),"25.080138,121.551168",
全家復林店,便利商店(全家),"25.051540,121.525374",
全家金林店,便利商店(全家),"25.050426,121.525082",
全家長林店,便利商店(全家),"25.049799,121.526742",
全家林慶店,便利商店(全家),"25.057878,121.525365",
全家錦富店,便利商店(全家),"25.060015,121.525412",
全家新林森店,便利商店(全家),"25.067598,121.525590",
全家金漾店,便利商店(全家),"25.056151,121.525358",
全家新錦林店,便利商店(全家),"25.059393,121.526173",
全家欣城店,便利商店(全家),"25.054139,121.525557",
全家新林森北路店,便利商店(全家),"25.050269,121.526838",
全家長松店,便利商店(全家),"25.048275,121.532721",
全家松江南京店,便利商店(全家),"25.052743,121.532728",
全家松好店,便利商店(全家),"25.048681,121.533153",
全家松國店,便利商店(全家),"25.066763,121.533457",
全家松京店,便利商店(全家),"25.052360,121.532796",
全家權勝店,便利商店(全家),"25.063798,121.532988",
全家松茂店,便利商店(全家),"25.053603,121.533337",
全家光華店,便利商店(全家),"25.047040,121.532700",
全家正義店,便利商店(全家),"25.048823,121.526468",
全家本部店,便利商店(全家),"25.048538,121.534908",
全家遼寧店,便利商店(全家),"25.048204,121.542416",
全家春北店,便利商店(全家),"25.054476,121.543757",
全家長春店,便利商店(全家),"25.054812,121.525761",
全家欣欣店,便利商店(全家),"25.054817,121.527918",
全家長賓店,便利商店(全家),"25.055046,121.523934",
全家中山捷運站店,便利商店(全家),"25.052442,121.520266",
全家京林店,便利商店(全家),"25.051889,121.530705",
全家鑫興亞店,便利商店(全家),"25.051890,121.528621",
全家京貿店,便利商店(全家),"25.052193,121.538356",
全家建國北路店,便利商店(全家),"25.051262,121.536356",
全家建錦店,便利商店(全家),"25.060200,121.537320",
全家欣濱江店,便利商店(全家),"25.066304,121.536061",
全家新衡山店,便利商店(全家),"25.083917,121.538093",
全家新復店,便利商店(全家),"25.066095,121.542588",
全家復崙店,便利商店(全家),"25.049251,121.543749",
全家金復店,便利商店(全家),"25.060392,121.543957",
全家南京復興店,便利商店(全家),"25.053173,121.543789",
全家復德店,便利商店(全家),"25.045308,121.543662",
全家鑫通店,便利商店(全家),"25.050605,121.527818",
全家美林店,便利商店(全家),"25.056139,121.525868",
全家新農店,便利商店(全家),"25.064808,121.526198",
全家新晴店,便利商店(全家),"25.064891,121.523060",
全家松農店,便利商店(全家),"25.064609,121.533959",
全家農安店,便利商店(全家),"25.064790,121.534926",
全家光輝店,便利商店(全家),"25.066585,121.526479",
全家新德城店,便利商店(全家),"25.066625,121.524672",
全家德林店,便利商店(全家),"25.066680,121.531905",
全家撫順店,便利商店(全家),"25.063558,121.520853",
全家樂群店,便利商店(全家),"25.079595,121.558474",
全家美麗店,便利商店(全家),"25.079748,121.556824",
全家時代廣場店,便利商店(全家),"25.081236,121.560663",
全家興安店,便利商店(全家),"25.056201,121.542324",
全家錦江店,便利商店(全家),"25.060419,121.532157",
全家新北大店,便利商店(全家),"25.060303,121.542451",
全家錦西店,便利商店(全家),"25.060275,121.521667",
全家中興店,便利商店(全家),"25.056277,121.540605",
全家鑫豐店,便利商店(全家),"25.065936,121.537996",
全家新南京店,便利商店(全家),"25.051424,121.540555",
全家榮星店,便利商店(全家),"25.065891,121.540849",
全家龍京店,便利商店(全家),"25.052669,121.540322",
全家雙城店,便利商店(全家),"25.064541,121.524221",
全家雙林店,便利商店(全家),"25.063211,121.524311",
全家金磚店,便利商店(全家),"25.065333,121.524514",
全家鑫德店,便利商店(全家),"25.048073,121.546570",
全家台發店,便利商店(全家),"25.048110,121.551527",
全家鑫中崙店,便利商店(全家),"25.046104,121.552401",
全家松慈店,便利商店(全家),"25.049901,121.576343",
全家寶清店,便利商店(全家),"25.049818,121.572405",
全家復盛店,便利商店(全家),"25.048254,121.559211",
全家三富店,便利商店(全家),"25.061049,121.563339",
全家京民店,便利商店(全家),"25.052166,121.563917",
全家常興店,便利商店(全家),"25.064245,121.544865",
全家微風店,便利商店(全家),"25.045349,121.546099",
全家豐興店,便利商店(全家),"25.056968,121.547117",
全家豐禾店,便利商店(全家),"25.056974,121.546337",
全家豐華店,便利商店(全家),"25.058587,121.546023",
全家昇東店,便利商店(全家),"25.059231,121.566063",
全家東豐店,便利商店(全家),"25.058545,121.556890",
全家富泰店,便利商店(全家),"25.058297,121.564708",
全家松民店,便利商店(全家),"25.059087,121.562479",
全家鑫民復店,便利商店(全家),"25.057583,121.553120",
全家中央店,便利商店(全家),"25.058141,121.551972",
全家興北店,便利商店(全家),"25.063435,121.545049",
全家新民有店,便利商店(全家),"25.060729,121.547748",
全家復北店,便利商店(全家),"25.061904,121.544806",
全家冠德店,便利商店(全家),"25.062277,121.547623",
全家松指部店,便利商店(全家),"25.062161,121.555797",
全家大理店,便利商店(全家),"25.049846,121.559931",
全家新德光店,便利商店(全家),"25.046203,121.554312",
全家新大吉店,便利商店(全家),"25.049455,121.562659",
全家成福店,便利商店(全家),"25.044939,121.586378",
全家塔悠店,便利商店(全家),"25.057240,121.569051",
全家松壽店,便利商店(全家),"25.055360,121.562172",
全家長復店,便利商店(全家),"25.048365,121.544824",
全家力晶店,便利商店(全家),"25.051634,121.544801",
全家京萬店,便利商店(全家),"25.051994,121.547388",
全家新京吉店,便利商店(全家),"25.051190,121.563848",
全家新東寶店,便利商店(全家),"25.052267,121.566045",
全家新東光店,便利商店(全家),"25.052167,121.560674",
全家大盛店,便利商店(全家),"25.050865,121.560515",
全家京盛店,便利商店(全家),"25.051387,121.553896",
全家新健康店,便利商店(全家),"25.053172,121.555215",
全家京兆店,便利商店(全家),"25.051795,121.555296",
全家小巨蛋二店,便利商店(全家),"25.051356,121.549954",
全家巨星超市店,便利商店(全家),"25.051484,121.550725",
全家京鑽店,便利商店(全家),"25.051937,121.550849",
全家民康店,便利商店(全家),"25.054369,121.564113",
全家康寶店,便利商店(全家),"25.054091,121.566094",
